ID,Datum,Uhrzeit,Luftfeuchtigkeit,Temperatur_in_C°,Abweichung,Differenz
1,27.11.2023,10:30:03,31.5,21.9, ,   
2,27.11.2023,10:31:07,31.9,21.9, ,   
3,27.11.2023,10:32:11,32.1,21.6, ,   
4,27.11.2023,10:34:33,30.3,22.6,+,0.6
5,27.11.2023,10:35:38,29.4,24.6,+,2.6
6,27.11.2023,10:36:39,30.1,23.1,+,1.1
7,27.11.2023,10:37:40,31.8,22.1,+,0.1
8,27.11.2023,10:38:41,31.4,22.1,+,0.1
9,27.11.2023,10:39:42,30.6,23.6,+,1.6
10,27.11.2023,10:46:08,33.2,24.2,+,2.2
11,27.11.2023,10:47:16,33.5,20.9, ,   
12,27.11.2023,10:48:17,33.3,21.3, ,   
13,27.11.2023,10:49:18,31.4,23.0,+,1.0
14,27.11.2023,10:50:22,29.0,25.3,+,3.3
15,27.11.2023,10:51:26,28.9,24.4,+,2.4
16,27.11.2023,10:52:32,29.9,24.3,+,2.3
17,27.11.2023,10:53:35,31.0,23.0,+,1.0
18,27.11.2023,10:54:39,31.8,22.3,+,0.3
19,27.11.2023,10:55:46,32.4,21.7, ,   
20,27.11.2023,10:56:48,32.5,21.7, ,   
21,27.11.2023,10:58:02,32.6,21.7, ,   
22,27.11.2023,10:58:22,32.7,21.8, ,   
23,27.11.2023,10:59:29,32.8,21.7, ,   
24,27.11.2023,11:00:30,32.8,21.9, ,   
25,27.11.2023,11:01:06,32.6,22.1,+,0.1
26,27.11.2023,11:02:12,32.4,22.3,+,0.3
27,27.11.2023,11:03:13,32.1,22.4,+,0.4
28,27.11.2023,11:04:21,31.9,22.3,+,0.3
29,27.11.2023,11:05:23,32.1,22.3,+,0.3
30,27.11.2023,11:06:24,32.8,22.0, ,   
31,27.11.2023,11:07:27,32.9,22.1,+,0.1
32,27.11.2023,11:08:31,32.9,22.1,+,0.1
33,27.11.2023,11:09:32,32.8,21.8, ,   
34,27.11.2023,11:10:33,32.9,21.9, ,   
35,27.11.2023,11:11:34,33.0,21.9, ,   
36,27.11.2023,11:12:35,33.1,21.8, ,   
37,27.11.2023,11:13:37,33.2,22.0, ,   
38,27.11.2023,11:14:38,33.1,22.2,+,0.2
39,27.11.2023,11:15:52,33.3,22.1,+,0.1
40,27.11.2023,11:16:55,33.9,22.1,+,0.1
41,27.11.2023,11:17:59,34.1,22.0, ,   
42,27.11.2023,11:19:00,34.3,21.8, ,   
43,27.11.2023,11:20:04,32.5,23.7,+,1.7
