ID,Datum,Uhrzeit,Temperatur,Luftfeuchtigkeit,TemperaturAbweichungen
1,Wed 15 11 2023,16:26:16,10.0,2323.0,zu niedrig
2,Wed 15 11 2023,16:43:50,10.0,2323.0,zu niedrig
3,Wed 15 11 2023,16:44:50,10.0,2323.0,zu niedrig
4,Wed 15 11 2023,16:45:27,10.0,2323.0,zu niedrig
5,Thu 16 11 2023,08:47:19,10.0,2323.0,zu niedrig
6,Thu 16 11 2023,08:49:30,10.0,2323.0,zu niedrig
7,Thu 16 11 2023,09:11:03,20.4,43.4,zu hoch
8,Thu 16 11 2023,09:15:03,20.5,43.1,+++
9,Thu 16 11 2023,09:15:54,20.5,42.9,---
10,Thu 16 11 2023,09:16:52,20.6,42.8,---
11,Thu 16 11 2023,09:18:24,20.6,42.7,---
12,Thu 16 11 2023,09:19:51,20.7,42.7,---
13,Thu 16 11 2023,09:21:33,20.7,42.7,---
14,Thu 16 11 2023,09:23:05,20.8,42.4,---
15,Thu 16 11 2023,09:25:13,20.9,42.3,---
16,Thu 16 11 2023,09:27:06,20.9,42.1,---
17,Thu 16 11 2023,09:28:31,20.9,42.0,---
18,Thu 16 11 2023,09:29:47,21.0,41.9,---
19,Thu 16 11 2023,09:32:02,21.0,41.7,---
20,Thu 16 11 2023,09:45:54,21.2,41.5,---
21,Thu 16 11 2023,09:49:59,21.1,41.1,---
22,Thu 16 11 2023,09:57:04,21.1,41.5,---
23,Thu 16 11 2023,09:57:44,21.1,41.7,---
24,Thu 16 11 2023,10:01:10,21.1,41.6,---
25,Thu 16 11 2023,10:15:28,21.0,41.8,---
26,Thu 16 11 2023,10:53:40,21.3,43.0,---
27,Thu 16 11 2023,12:34:02,22.3,40.0,---
28,Thu 16 11 2023,12:46:10,22.4,40.4,---
29,Thu 16 11 2023,12:47:08,22.4,41.0,---
30,Thu 16 11 2023,12:47:30,22.4,41.1,---
31,Thu 16 11 2023,12:48:04,22.3,41.0,---
32,Thu 16 11 2023,12:49:17,22.4,41.0,---
33,Thu 16 11 2023,12:56:56,22.7,41.1,---
34,Thu 16 11 2023,12:58:21,22.7,40.1,---
35,Thu 16 11 2023,12:59:35,22.7,39.3,---
36,Thu 16 11 2023,13:00:09,22.7,38.9,---
37,Thu 16 11 2023,13:03:01,22.7,38.9,---
38,Thu 16 11 2023,13:27:38,22.6,39.2,---
39,Thu 16 11 2023,13:28:28,22.3,39.5,---
40,Thu 16 11 2023,13:30:05,22.4,39.3,---
41,Thu 16 11 2023,13:38:56,22.4,39.2,---
42,Thu 16 11 2023,13:40:18,22.4,39.0,---
